pattern_idx,overall_bitwise_fraction_diff,per_gate_mean_hamming,counted_bits_total,counted_gates_total,final_accuracy,final_hard_loss,per_layer_bitwise_fraction_diff
0,0.23022151898734178,0.23022152483463287,2528,158,0.99658203125,7.0,"[0.14919355511665344, 0.2913135588169098, 0.2823275923728943, 0.21875]"
1,0.21360759493670886,0.21360759437084198,2528,158,0.9873046875,26.0,"[0.12090163677930832, 0.26946720480918884, 0.2834821343421936, 0.25]"
2,0.18789556962025317,0.18789558112621307,2528,158,0.994140625,12.0,"[0.11577869206666946, 0.2392241358757019, 0.24193547666072845, 0.15625]"
3,0.20450949367088608,0.20450949668884277,2528,158,0.99365234375,13.0,"[0.13124999403953552, 0.2593750059604645, 0.26249998807907104, 0.125]"
4,0.27056962025316456,0.2705696225166321,2528,158,0.99560546875,9.0,"[0.19612069427967072, 0.33770161867141724, 0.2916666567325592, 0.2109375]"
5,0.2377373417721519,0.23773734271526337,2528,158,0.98876953125,23.0,"[0.16393442451953888, 0.29303279519081116, 0.2767857015132904, 0.2421875]"
6,0.22666139240506328,0.22666139900684357,2528,158,0.99462890625,11.0,"[0.14978447556495667, 0.30645161867141724, 0.23749999701976776, 0.125]"
7,0.23971518987341772,0.23971518874168396,2528,158,0.9921875,16.0,"[0.15937499701976776, 0.3156779706478119, 0.2620967626571655, 0.1953125]"
8,0.1918512658227848,0.19185127317905426,2528,158,0.99072265625,19.0,"[0.11758474260568619, 0.26354166865348816, 0.22580644488334656, 0.0703125]"
9,0.2143987341772152,0.21439874172210693,2528,158,0.99169921875,17.0,"[0.1197916641831398, 0.2906250059604645, 0.26249998807907104, 0.171875]"
10,0.24248417721518986,0.2424841821193695,2528,158,0.98974609375,21.0,"[0.1424180269241333, 0.3061440587043762, 0.3270833194255829, 0.21875]"
11,0.22587025316455697,0.2258702516555786,2528,158,0.984375,32.0,"[0.13146552443504333, 0.32056450843811035, 0.22083333134651184, 0.1953125]"
12,0.21400316455696203,0.21400317549705505,2528,158,0.986328125,28.0,"[0.13114753365516663, 0.27542373538017273, 0.28333333134651184, 0.1328125]"
13,0.23140822784810128,0.2314082384109497,2528,158,0.98974609375,21.0,"[0.12715516984462738, 0.3125, 0.28830644488334656, 0.1484375]"
14,0.18393987341772153,0.1839398741722107,2528,158,0.9990234375,2.0,"[0.10911016911268234, 0.23790322244167328, 0.22413793206214905, 0.171875]"
15,0.2590981012658228,0.2590981125831604,2528,158,0.99462890625,11.0,"[0.1895161271095276, 0.30937498807907104, 0.2991071343421936, 0.28125]"
16,0.20925632911392406,0.2092563360929489,2528,158,0.9951171875,10.0,"[0.13333334028720856, 0.2669491469860077, 0.27016130089759827, 0.1171875]"
17,0.20846518987341772,0.20846518874168396,2528,158,0.9931640625,14.0,"[0.15020161867141724, 0.25208333134651184, 0.2544642984867096, 0.171875]"
18,0.1752373417721519,0.17523734271526337,2528,158,0.994140625,12.0,"[0.08943965286016464, 0.24180327355861664, 0.22580644488334656, 0.09375]"
19,0.24367088607594936,0.24367089569568634,2528,158,0.99169921875,17.0,"[0.15840516984462738, 0.3256048262119293, 0.2562499940395355, 0.1796875]"
20,0.24723101265822786,0.24723102152347565,2528,158,0.9931640625,14.0,"[0.16101695597171783, 0.31352460384368896, 0.3062500059604645, 0.15625]"
21,0.2254746835443038,0.22547468543052673,2528,158,0.99169921875,17.0,"[0.14088982343673706, 0.2979166805744171, 0.27016130089759827, 0.1328125]"
22,0.16020569620253164,0.16020570695400238,2528,158,0.9921875,16.0,"[0.08229167014360428, 0.20729166269302368, 0.22499999403953552, 0.1484375]"
23,0.22943037974683544,0.2294303923845291,2528,158,0.99462890625,11.0,"[0.1372767835855484, 0.3165322542190552, 0.251953125, 0.109375]"
24,0.2468354430379747,0.24683545529842377,2528,158,0.99169921875,17.0,"[0.1461864411830902, 0.31754031777381897, 0.31681033968925476, 0.1875]"
25,0.22784810126582278,0.2278481125831604,2528,158,0.99755859375,5.0,"[0.1493644118309021, 0.2979166805744171, 0.27016130089759827, 0.1171875]"
26,0.21677215189873417,0.2167721539735794,2528,158,0.99462890625,11.0,"[0.142578125, 0.27693966031074524, 0.2700892984867096, 0.1875]"
27,0.21123417721518986,0.2112341821193695,2528,158,0.994140625,12.0,"[0.12284483015537262, 0.2848360538482666, 0.25604838132858276, 0.1171875]"
28,0.2242879746835443,0.2242879867553711,2528,158,0.99560546875,9.0,"[0.14651639759540558, 0.29385966062545776, 0.279296875, 0.1015625]"
29,0.25276898734177217,0.25276899337768555,2528,158,0.99658203125,7.0,"[0.16935484111309052, 0.3299180269241333, 0.2638888955116272, 0.2734375]"
30,0.22349683544303797,0.22349683940410614,2528,158,0.98779296875,25.0,"[0.14724576473236084, 0.2807376980781555, 0.2666666805744171, 0.1875]"
31,0.2598892405063291,0.25988924503326416,2528,158,0.99072265625,19.0,"[0.16249999403953552, 0.3268442749977112, 0.32543104887008667, 0.2421875]"
32,0.2590981012658228,0.2590981125831604,2528,158,0.9921875,16.0,"[0.16776315867900848, 0.3457661271095276, 0.29032257199287415, 0.1171875]"
33,0.24248417721518986,0.2424841821193695,2528,158,0.98876953125,23.0,"[0.15729166567325592, 0.2807203531265259, 0.34879031777381897, 0.1875]"
34,0.2242879746835443,0.2242879867553711,2528,158,0.98681640625,27.0,"[0.12715516984462738, 0.3062500059604645, 0.267578125, 0.140625]"
35,0.24050632911392406,0.2405063360929489,2528,158,0.9951171875,10.0,"[0.17812499403953552, 0.31038135290145874, 0.2620967626571655, 0.109375]"
36,0.22943037974683544,0.2294303923845291,2528,158,0.98828125,24.0,"[0.1454741358757019, 0.2991803288459778, 0.27217742800712585, 0.140625]"
37,0.2199367088607595,0.21993671357631683,2528,158,0.99365234375,13.0,"[0.15021929144859314, 0.2847222089767456, 0.23125000298023224, 0.1640625]"
38,0.20846518987341772,0.20846518874168396,2528,158,0.99365234375,13.0,"[0.13347457349300385, 0.2913135588169098, 0.234375, 0.046875]"
39,0.21795886075949367,0.21795886754989624,2528,158,0.994140625,12.0,"[0.1368534415960312, 0.31147539615631104, 0.21572580933570862, 0.1015625]"
40,0.2412974683544304,0.24129746854305267,2528,158,0.99462890625,11.0,"[0.1614583283662796, 0.2987288236618042, 0.3084677457809448, 0.15625]"
41,0.21479430379746836,0.2147943079471588,2528,158,0.9931640625,14.0,"[0.13422131538391113, 0.2593750059604645, 0.2909482717514038, 0.21875]"
42,0.23299050632911392,0.23299051821231842,2528,158,0.9853515625,30.0,"[0.16330644488334656, 0.2823275923728943, 0.2854166626930237, 0.21875]"
43,0.20846518987341772,0.20846518874168396,2528,158,0.99609375,8.0,"[0.13124999403953552, 0.2838982939720154, 0.2479838728904724, 0.078125]"
44,0.22626582278481014,0.2262658327817917,2528,158,0.99267578125,15.0,"[0.15148304402828217, 0.27648305892944336, 0.306640625, 0.0859375]"
45,0.25830696202531644,0.25830698013305664,2528,158,0.986328125,28.0,"[0.17499999701976776, 0.3329918086528778, 0.28663793206214905, 0.2109375]"
46,0.24248417721518986,0.2424841821193695,2528,158,0.99267578125,15.0,"[0.1805555522441864, 0.3038793206214905, 0.2737068831920624, 0.171875]"
47,0.17998417721518986,0.1799841821193695,2528,158,0.99853515625,3.0,"[0.0901639312505722, 0.25, 0.24193547666072845, 0.1171875]"
48,0.2626582278481013,0.2626582384109497,2528,158,0.99072265625,19.0,"[0.16843220591545105, 0.33266130089759827, 0.3146551847457886, 0.2265625]"
49,0.2120253164556962,0.21202531456947327,2528,158,0.98779296875,25.0,"[0.140625, 0.24687500298023224, 0.29374998807907104, 0.1796875]"
50,0.2286392405063291,0.22863924503326416,2528,158,0.9970703125,6.0,"[0.15625, 0.26875001192092896, 0.30416667461395264, 0.1875]"
51,0.2199367088607595,0.21993671357631683,2528,158,0.98876953125,23.0,"[0.12909835577011108, 0.3145161271095276, 0.20601852238178253, 0.2265625]"
52,0.23457278481012658,0.23457279801368713,2528,158,0.994140625,12.0,"[0.14651639759540558, 0.2991803288459778, 0.2611607015132904, 0.3203125]"
