pattern_idx,overall_bitwise_fraction_diff,per_gate_mean_hamming,counted_bits_total,counted_gates_total,final_accuracy,final_hard_loss,per_layer_bitwise_fraction_diff
17,0.337890625,0.337890625,2048,128,0.94189453125,119.0,"[0.2283163219690323, 0.42934781312942505, 0.4050000011920929, 0.2734375]"
18,0.3642578125,0.3642578125,2048,128,0.9609375,80.0,"[0.25930851697921753, 0.4502550959587097, 0.3958333432674408, 0.359375]"
19,0.3876953125,0.3876953125,2048,128,0.9501953125,102.0,"[0.3022959232330322, 0.4479166567325592, 0.44021740555763245, 0.3984375]"
20,0.39453125,0.39453125,2048,128,0.94580078125,111.0,"[0.32065218687057495, 0.43396225571632385, 0.443452388048172, 0.4296875]"
21,0.34521484375,0.34521484375,2048,128,0.951171875,100.0,"[0.2265625, 0.4426020383834839, 0.39402174949645996, 0.3203125]"
22,0.36572265625,0.36572265625,2048,128,0.9453125,112.0,"[0.29654255509376526, 0.39809781312942505, 0.42824074625968933, 0.375]"
23,0.33203125,0.33203125,2048,128,0.9423828125,118.0,"[0.22638888657093048, 0.4192708432674408, 0.39351850748062134, 0.1953125]"
24,0.35986328125,0.35986328125,2048,128,0.92138671875,161.0,"[0.2430555522441864, 0.46078431606292725, 0.3697916567325592, 0.34375]"
25,0.37646484375,0.37646484375,2048,128,0.88720703125,231.0,"[0.3072916567325592, 0.41499999165534973, 0.4431818127632141, 0.3671875]"
26,0.38134765625,0.38134765625,2048,128,0.939453125,124.0,"[0.3040865361690521, 0.4596354067325592, 0.38749998807907104, 0.3984375]"
27,0.37939453125,0.37939453125,2048,128,0.951171875,100.0,"[0.2819444537162781, 0.4566326439380646, 0.40625, 0.3671875]"
28,0.38134765625,0.38134765625,2048,128,0.9423828125,118.0,"[0.3297872245311737, 0.4375, 0.38999998569488525, 0.3203125]"
29,0.3828125,0.3828125,2048,128,0.958984375,84.0,"[0.3087500035762787, 0.43504902720451355, 0.40789473056793213, 0.453125]"
30,0.384765625,0.384765625,2048,128,0.94091796875,121.0,"[0.27260637283325195, 0.44565218687057495, 0.47685185074806213, 0.3828125]"
31,0.36865234375,0.36865234375,2048,128,0.94970703125,103.0,"[0.2888889014720917, 0.4437499940395355, 0.3700000047683716, 0.34375]"
32,0.376953125,0.376953125,2048,128,0.93505859375,133.0,"[0.28723403811454773, 0.44680851697921753, 0.4326923191547394, 0.3125]"
33,0.3828125,0.3828125,2048,128,0.9482421875,106.0,"[0.33125001192092896, 0.42091837525367737, 0.4017857015132904, 0.421875]"
34,0.3544921875,0.3544921875,2048,128,0.95458984375,93.0,"[0.2548076808452606, 0.4232954680919647, 0.4505208432674408, 0.3359375]"
35,0.388671875,0.388671875,2048,128,0.93603515625,131.0,"[0.31603774428367615, 0.4491279125213623, 0.4505208432674408, 0.359375]"
36,0.39306640625,0.39306640625,2048,128,0.9521484375,98.0,"[0.3018617033958435, 0.46995192766189575, 0.386904776096344, 0.4453125]"
37,0.3408203125,0.3408203125,2048,128,0.9609375,80.0,"[0.21938775479793549, 0.4225543439388275, 0.4399999976158142, 0.3046875]"
38,0.373046875,0.373046875,2048,128,0.93603515625,131.0,"[0.28921568393707275, 0.43885868787765503, 0.44565218687057495, 0.3203125]"
39,0.337890625,0.337890625,2048,128,0.9462890625,110.0,"[0.234375, 0.4211956560611725, 0.38701921701431274, 0.3203125]"
40,0.34228515625,0.34228515625,2048,128,0.96435546875,73.0,"[0.23670212924480438, 0.41489362716674805, 0.4110576808452606, 0.3125]"
41,0.3466796875,0.3466796875,2048,128,0.94287109375,117.0,"[0.25531914830207825, 0.4362500011920929, 0.32065218687057495, 0.3984375]"
42,0.38427734375,0.38427734375,2048,128,0.9462890625,110.0,"[0.28698980808258057, 0.4414893686771393, 0.4817708432674408, 0.3515625]"
43,0.36474609375,0.36474609375,2048,128,0.951171875,100.0,"[0.29971590638160706, 0.42500001192092896, 0.38942307233810425, 0.265625]"
44,0.365234375,0.365234375,2048,128,0.92724609375,149.0,"[0.28989362716674805, 0.4305555522441864, 0.4174107015132904, 0.2578125]"
45,0.38134765625,0.38134765625,2048,128,0.94091796875,121.0,"[0.2762500047683716, 0.457880437374115, 0.4427083432674408, 0.4140625]"
46,0.37255859375,0.37255859375,2048,128,0.94580078125,111.0,"[0.3149038553237915, 0.4275568127632141, 0.4114583432674408, 0.328125]"
47,0.353515625,0.353515625,2048,128,0.966796875,68.0,"[0.25, 0.4247449040412903, 0.41477271914482117, 0.3828125]"
48,0.41357421875,0.41357421875,2048,128,0.9150390625,174.0,"[0.3154069781303406, 0.48349055647850037, 0.4375, 0.40625]"
49,0.3720703125,0.3720703125,2048,128,0.93701171875,129.0,"[0.27933672070503235, 0.43882977962493896, 0.4270833432674408, 0.3828125]"
50,0.39501953125,0.39501953125,2048,128,0.94091796875,121.0,"[0.328125, 0.45694443583488464, 0.42934781312942505, 0.3828125]"
51,0.390625,0.390625,2048,128,0.93505859375,133.0,"[0.3291666805744171, 0.4534313678741455, 0.3880208432674408, 0.34375]"
52,0.38037109375,0.38037109375,2048,128,0.9521484375,98.0,"[0.29591837525367737, 0.4183673560619354, 0.46590909361839294, 0.4296875]"
53,0.35302734375,0.35302734375,2048,128,0.95849609375,85.0,"[0.2566489279270172, 0.4348404109477997, 0.375, 0.3671875]"
54,0.3896484375,0.3896484375,2048,128,0.919921875,164.0,"[0.30945122241973877, 0.4330357015132904, 0.40489131212234497, 0.453125]"
55,0.3662109375,0.3662109375,2048,128,0.9541015625,94.0,"[0.26953125, 0.43478259444236755, 0.42307692766189575, 0.3671875]"
56,0.3603515625,0.3603515625,2048,128,0.943359375,116.0,"[0.2566489279270172, 0.4459134638309479, 0.3660714328289032, 0.3984375]"
57,0.3544921875,0.3544921875,2048,128,0.91064453125,183.0,"[0.2669270932674408, 0.42952126264572144, 0.3774999976158142, 0.3671875]"
58,0.388671875,0.388671875,2048,128,0.93896484375,125.0,"[0.32374998927116394, 0.4263888895511627, 0.4650000035762787, 0.34375]"
59,0.41552734375,0.41552734375,2048,128,0.94384765625,115.0,"[0.3449999988079071, 0.45625001192092896, 0.48124998807907104, 0.4375]"
60,0.3759765625,0.3759765625,2048,128,0.93994140625,123.0,"[0.3059895932674408, 0.44999998807907104, 0.40509259700775146, 0.28125]"
61,0.3662109375,0.3662109375,2048,128,0.93212890625,139.0,"[0.28977271914482117, 0.4375, 0.3799999952316284, 0.2890625]"
62,0.3896484375,0.3896484375,2048,128,0.91845703125,167.0,"[0.30994898080825806, 0.4642857015132904, 0.3863636255264282, 0.4296875]"
63,0.37060546875,0.37060546875,2048,128,0.94384765625,115.0,"[0.28835228085517883, 0.4479166567325592, 0.390625, 0.2890625]"
64,0.35302734375,0.35302734375,2048,128,0.96484375,72.0,"[0.25367647409439087, 0.4113371968269348, 0.4423076808452606, 0.3828125]"
