pattern_i,pattern_0,pattern_1,pattern_2,pattern_3,pattern_4,pattern_5,pattern_6,pattern_7,pattern_8,pattern_9,pattern_10,pattern_11,pattern_12,pattern_13,pattern_14,pattern_15,pattern_16,pattern_17,pattern_18,pattern_19,pattern_20,pattern_21,pattern_22,pattern_23,pattern_24,pattern_25,pattern_26,pattern_27,pattern_28,pattern_29,pattern_30,pattern_31,pattern_32,pattern_33,pattern_34,pattern_35,pattern_36,pattern_37,pattern_38,pattern_39,pattern_40,pattern_41,pattern_42,pattern_43,pattern_44,pattern_45,pattern_46,pattern_47,pattern_48,pattern_49,pattern_50,pattern_51,pattern_52,pattern_53,pattern_54,pattern_55,pattern_56,pattern_57,pattern_58,pattern_59,pattern_60,pattern_61,pattern_62,pattern_63
10,0.35384615384615387,0.3354007633587786,0.31296641791044777,0.3658653846153846,0.36767578125,0.34326923076923077,0.32967557251908397,0.349609375,0.3367248062015504,0.33570075757575757,0.0,0.3370192307692308,0.3889423076923077,0.34232954545454547,0.34541984732824427,0.38856589147286824,0.36579457364341084,0.3439922480620155,0.3235576923076923,0.3721153846153846,0.3505859375,0.3606870229007634,0.325,0.37929389312977096,0.3430232558139535,0.3628875968992248,0.3344216417910448,0.3463740458015267,0.375,0.3816793893129771,0.33110687022900764,0.3625,0.35192307692307695,0.3616412213740458,0.3173076923076923,0.3697115384615385,0.359375,0.34446564885496184,0.3528846153846154,0.3466346153846154,0.35865384615384616,0.32655038759689925,0.34134615384615385,0.3262310606060606,0.38461538461538464,0.3671875,0.31201923076923077,0.31202290076335876,0.35755813953488375,0.3482824427480916,0.3721153846153846,0.3653100775193798,0.362312030075188,0.3384615384615385,0.36730769230769234,0.3581730769230769,0.36975190839694655,0.38226744186046513,0.3683206106870229,0.3701923076923077,0.3503787878787879,0.3294172932330827,0.3143796992481203,0.350093984962406
11,0.37306201550387597,0.3584280303030303,0.3425387596899225,0.37452290076335876,0.3678977272727273,0.3735687022900763,0.33028846153846153,0.36498091603053434,0.3561046511627907,0.35852713178294576,0.3370192307692308,0.0,0.3857421875,0.3368320610687023,0.35591603053435117,0.37790697674418605,0.3682692307692308,0.36773255813953487,0.36498091603053434,0.3488372093023256,0.3576923076923077,0.3769230769230769,0.3221899224806202,0.3701171875,0.3233082706766917,0.34780534351145037,0.3573473282442748,0.36116412213740456,0.3597328244274809,0.37693798449612403,0.35639312977099236,0.3371212121212121,0.38125,0.3555871212121212,0.321087786259542,0.34953703703703703,0.374515503875969,0.34423076923076923,0.3584280303030303,0.34446564885496184,0.37548076923076923,0.34326923076923077,0.33948863636363635,0.37158203125,0.38420542635658916,0.3735576923076923,0.3224431818181818,0.3231589147286822,0.3576127819548872,0.36259541984732824,0.3549618320610687,0.3543269230769231,0.3701923076923077,0.3484848484848485,0.374515503875969,0.36094961240310075,0.3416353383458647,0.35132575757575757,0.34962406015037595,0.38372093023255816,0.35782442748091603,0.3224431818181818,0.36688931297709926,0.3702290076335878
12,0.36259541984732824,0.32729007633587787,0.35591603053435117,0.3683206106870229,0.36137218045112784,0.34780534351145037,0.3642578125,0.34759615384615383,0.34156976744186046,0.375,0.3889423076923077,0.3857421875,0.0,0.36143410852713176,0.3603219696969697,0.34541984732824427,0.3702651515151515,0.33110687022900764,0.35625,0.36875,0.32958984375,0.35526315789473684,0.33028846153846153,0.3255597014925373,0.373546511627907,0.3556201550387597,0.34208015267175573,0.3456439393939394,0.3511450381679389,0.37596153846153846,0.3242481203007519,0.3581730769230769,0.39292635658914726,0.3797348484848485,0.36094961240310075,0.34615384615384615,0.3654580152671756,0.34108527131782945,0.3812022900763359,0.34398496240601506,0.36579457364341084,0.345703125,0.3341165413533835,0.3458969465648855,0.3701550387596899,0.3716346153846154,0.3778846153846154,0.3105769230769231,0.34541984732824427,0.36962890625,0.3788167938931298,0.36975190839694655,0.3475378787878788,0.36579457364341084,0.3471153846153846,0.3290719696969697,0.36211832061068705,0.3347537878787879,0.383587786259542,0.3638565891472868,0.33617424242424243,0.3740530303030303,0.3664772727272727,0.3894230769230769
13,0.31345419847328243,0.3293269230769231,0.34156976744186046,0.32706766917293234,0.3163167938931298,0.3391472868217054,0.3386627906976744,0.36094961240310075,0.31875,0.3687015503875969,0.34232954545454547,0.3368320610687023,0.36143410852713176,0.0,0.3497137404580153,0.3503787878787879,0.3229166666666667,0.35998062015503873,0.37451923076923077,0.34208015267175573,0.33948863636363635,0.3560606060606061,0.32299618320610685,0.3162878787878788,0.3644230769230769,0.32729007633587787,0.3381782945736434,0.3271780303030303,0.3536821705426357,0.34327651515151514,0.3125,0.31774809160305345,0.3812022900763359,0.37742248062015504,0.33837890625,0.30634469696969696,0.3265977443609023,0.3196564885496183,0.3269230769230769,0.3310546875,0.35625,0.3561046511627907,0.2978219696969697,0.3101145038167939,0.3648255813953488,0.37548076923076923,0.3633720930232558,0.2878787878787879,0.36279296875,0.3260261194029851,0.34375,0.3344465648854962,0.33975563909774437,0.3497137404580153,0.36259541984732824,0.31486742424242425,0.35658914728682173,0.3268129770992366,0.33955223880597013,0.3403846153846154,0.32729007633587787,0.30968045112781956,0.3268129770992366,0.3487595419847328
14,0.38072519083969464,0.374031007751938,0.3244274809160305,0.3470643939393939,0.3859732824427481,0.3641917293233083,0.3524038461538462,0.37736742424242425,0.3693181818181818,0.366412213740458,0.34541984732824427,0.35591603053435117,0.3603219696969697,0.3497137404580153,0.0,0.3817829457364341,0.366412213740458,0.33948863636363635,0.3528846153846154,0.3908653846153846,0.36875,0.3875,0.37690839694656486,0.38808139534883723,0.37030075187969924,0.34517045454545453,0.33413461538461536,0.3580827067669173,0.40478515625,0.39134615384615384,0.3506679389312977,0.38257575757575757,0.3993320610687023,0.3735576923076923,0.3387404580152672,0.3581730769230769,0.3894230769230769,0.34326923076923077,0.3702651515151515,0.37112403100775193,0.3711832061068702,0.32283834586466165,0.33221153846153845,0.3293269230769231,0.4111328125,0.4110576923076923,0.34375,0.3191793893129771,0.34208015267175573,0.37209302325581395,0.3702290076335878,0.3861434108527132,0.37646484375,0.376453488372093,0.3778409090909091,0.37112403100775193,0.3555871212121212,0.3926526717557252,0.3926526717557252,0.3812022900763359,0.3262310606060606,0.3701923076923077,0.3643410852713178,0.39680232558139533
15,0.37693798449612403,0.3451923076923077,0.3735687022900763,0.37742248062015504,0.38740458015267176,0.3391472868217054,0.374031007751938,0.3252840909090909,0.325,0.37548076923076923,0.38856589147286824,0.37790697674418605,0.34541984732824427,0.3503787878787879,0.3817829457364341,0.0,0.36009615384615384,0.3488372093023256,0.38525390625,0.3793604651162791,0.374515503875969,0.36730769230769234,0.3473282442748092,0.3576923076923077,0.36923076923076925,0.35271317829457366,0.37884615384615383,0.37166030534351147,0.37786259541984735,0.3942307692307692,0.36579457364341084,0.3456439393939394,0.38549618320610685,0.3812022900763359,0.37690839694656486,0.34421641791044777,0.35901162790697677,0.34774436090225563,0.38317307692307695,0.34685114503816794,0.36773255813953487,0.3597328244274809,0.3519736842105263,0.36143410852713176,0.3856589147286822,0.3855769230769231,0.3653100775193798,0.3250968992248062,0.3581730769230769,0.37740384615384615,0.3783653846153846,0.3905038759689923,0.36593511450381677,0.37693798449612403,0.3377862595419847,0.3449427480916031,0.36579457364341084,0.3644230769230769,0.36450381679389315,0.3859732824427481,0.3330152671755725,0.36079545454545453,0.36153846153846153,0.40240384615384617
16,0.35179924242424243,0.33587786259541985,0.3730769230769231,0.3630725190839695,0.3400186567164179,0.3697916666666667,0.3783653846153846,0.34990530303030304,0.3380681818181818,0.3740234375,0.36579457364341084,0.3682692307692308,0.3702651515151515,0.3229166666666667,0.366412213740458,0.36009615384615384,0.0,0.35658914728682173,0.3654580152671756,0.341796875,0.3639423076923077,0.31676136363636365,0.3330078125,0.32765151515151514,0.3409090909090909,0.36889097744360905,0.3640267175572519,0.37596153846153846,0.3643410852713178,0.3808139534883721,0.3384615384615385,0.3498062015503876,0.3711832061068702,0.4017175572519084,0.3463740458015267,0.35302734375,0.35795454545454547,0.35998062015503873,0.3411259541984733,0.3493217054263566,0.3416353383458647,0.32299618320610685,0.373046875,0.3368320610687023,0.3605769230769231,0.3740530303030303,0.3541666666666667,0.3058712121212121,0.3416353383458647,0.35125968992248063,0.36875,0.366412213740458,0.35782442748091603,0.3628875968992248,0.36153846153846153,0.3541666666666667,0.3446969696969697,0.35721153846153847,0.35179924242424243,0.37932692307692306,0.34471153846153846,0.30404135338345867,0.34116541353383456,0.3948643410852713
17,0.33251953125,0.33942307692307694,0.33826335877862596,0.3392857142857143,0.33942307692307694,0.34593023255813954,0.3370192307692308,0.33969465648854963,0.31202290076335876,0.3370192307692308,0.3439922480620155,0.36773255813953487,0.33110687022900764,0.35998062015503873,0.33948863636363635,0.3488372093023256,0.35658914728682173,0.0,0.35707364341085274,0.33238636363636365,0.32048872180451127,0.3387404580152672,0.33948863636363635,0.30625,0.3125,0.37548076923076923,0.3640267175572519,0.3465909090909091,0.3458969465648855,0.3624031007751938,0.3306297709923664,0.3556201550387597,0.3403846153846154,0.39697265625,0.3278846153846154,0.3643410852713178,0.3671875,0.3317307692307692,0.35302734375,0.34471153846153846,0.33942307692307694,0.299812030075188,0.33428030303030304,0.3592557251908397,0.36346153846153845,0.3594961240310077,0.3242481203007519,0.27982954545454547,0.34064885496183206,0.3764423076923077,0.3370192307692308,0.32095864661654133,0.36538461538461536,0.36688931297709926,0.36191860465116277,0.3350961538461538,0.3488372093023256,0.35673076923076924,0.34689922480620156,0.36875,0.34807692307692306,0.3583015267175573,0.31719924812030076,0.36211832061068705
18,0.3541666666666667,0.37452290076335876,0.34615384615384615,0.375,0.37929389312977096,0.3485576923076923,0.3390151515151515,0.3392175572519084,0.37790697674418605,0.3478682170542636,0.3235576923076923,0.36498091603053434,0.35625,0.37451923076923077,0.3528846153846154,0.38525390625,0.3654580152671756,0.35707364341085274,0.0,0.35721153846153847,0.3369360902255639,0.3678435114503817,0.3214962121212121,0.36865234375,0.3326923076923077,0.3466346153846154,0.37596153846153846,0.34138257575757575,0.3857421875,0.34611742424242425,0.3391472868217054,0.33646616541353386,0.35707364341085274,0.36875,0.3330078125,0.38525390625,0.35353053435114506,0.36572265625,0.35877862595419846,0.3581730769230769,0.34727443609022557,0.3449612403100775,0.3524038461538462,0.32742537313432835,0.3684210526315789,0.3866279069767442,0.36046511627906974,0.3456730769230769,0.3396317829457364,0.3554389312977099,0.37839147286821706,0.35192307692307695,0.38636363636363635,0.3662109375,0.34138257575757575,0.3530534351145038,0.37736742424242425,0.3485576923076923,0.38330078125,0.3597328244274809,0.3520992366412214,0.3549618320610687,0.3425387596899225,0.3605769230769231
19,0.37452290076335876,0.37067307692307694,0.36143410852713176,0.3430451127819549,0.3501908396946565,0.39147286821705424,0.3663461538461538,0.3654580152671756,0.34278846153846154,0.39244186046511625,0.3721153846153846,0.3488372093023256,0.36875,0.34208015267175573,0.3908653846153846,0.3793604651162791,0.341796875,0.33238636363636365,0.35721153846153847,0.0,0.36211832061068705,0.3404356060606061,0.37259615384615385,0.36143410852713176,0.3416030534351145,0.35658914728682173,0.36865234375,0.34210526315789475,0.3861434108527132,0.3446969696969697,0.3546511627906977,0.3630725190839695,0.3628875968992248,0.3887310606060606,0.3214962121212121,0.36346153846153845,0.3568702290076336,0.363339552238806,0.33428030303030304,0.3483527131782946,0.3471153846153846,0.30113636363636365,0.33948863636363635,0.35511363636363635,0.37887596899224807,0.37403846153846154,0.35192307692307695,0.32490458015267176,0.35877862595419846,0.3430232558139535,0.36572265625,0.3115530303030303,0.3730769230769231,0.3350961538461538,0.3316231343283582,0.34064885496183206,0.3605769230769231,0.3375,0.34375,0.36927480916030536,0.37404580152671757,0.34138257575757575,0.3346153846153846,0.37067307692307694
