pattern_idx,overall_bitwise_fraction_diff,per_gate_mean_hamming,counted_bits_total,counted_gates_total,final_accuracy,final_hard_loss,per_layer_bitwise_fraction_diff
0,0.0718562874251497,0.071856290102005,2672,167,0.9990234375,2.0,"[0.0341796875, 0.0972222238779068, 0.109375, 0.0234375]"
1,0.09955089820359281,0.09955090284347534,2672,167,0.99853515625,3.0,"[0.0380859375, 0.142578125, 0.12903225421905518, 0.1328125]"
2,0.05913173652694611,0.05913173779845238,2672,167,0.998046875,4.0,"[0.0283203125, 0.0763888880610466, 0.099609375, 0.0078125]"
3,0.09206586826347306,0.09206587076187134,2672,167,0.99951171875,1.0,"[0.0416666679084301, 0.1240234375, 0.146484375, 0.015625]"
4,0.09206586826347306,0.09206587076187134,2672,167,1.0,0.0,"[0.0406746044754982, 0.125, 0.146484375, 0.015625]"
5,0.1059131736526946,0.1059131771326065,2672,167,1.0,0.0,"[0.0446428582072258, 0.140625, 0.177734375, 0.0234375]"
6,0.07110778443113773,0.07110778987407684,2672,167,0.9990234375,2.0,"[0.03125, 0.0947265625, 0.1088709682226181, 0.0546875]"
7,0.06773952095808383,0.06773952394723892,2672,167,0.99853515625,3.0,"[0.033203125, 0.0962301567196846, 0.095703125, 0.0078125]"
8,0.09131736526946108,0.09131737053394318,2672,167,0.9990234375,2.0,"[0.0537109375, 0.1180555522441864, 0.134765625, 0.0078125]"
9,0.07709580838323353,0.07709581404924393,2672,167,0.998046875,4.0,"[0.0361328125, 0.095238097012043, 0.138671875, 0.015625]"
10,0.09580838323353294,0.09580838680267334,2672,167,0.9990234375,2.0,"[0.0576171875, 0.1130952388048172, 0.158203125, 0.015625]"
11,0.12238023952095808,0.12238024175167084,2672,167,0.998046875,4.0,"[0.0545634925365448, 0.1689453125, 0.173828125, 0.078125]"
12,0.1122754491017964,0.11227545142173767,2672,167,0.99951171875,1.0,"[0.052579365670681, 0.162109375, 0.142578125, 0.0625]"
13,0.08420658682634731,0.08420658856630325,2672,167,0.99853515625,3.0,"[0.044921875, 0.1041666641831398, 0.126953125, 0.0703125]"
14,0.09094311377245509,0.0909431204199791,2672,167,0.99853515625,3.0,"[0.0390625, 0.119140625, 0.15322580933570862, 0.0390625]"
