run_id,run_name,task_raw,Task,seed,ood,split,train_damage,eval_damage,wiring_mode,model,test_num,input_bits,hard_accuracy,hard_loss,accuracy,loss
5yh2ggdv,zany-frog-1036,add,Binary Addition,2,in,test,OFF,OFF,fixed,gathered_attention,256,12,0.9703505039215088,1461.18603515625,0.9706081748008728,183.8948211669922
5yh2ggdv,zany-frog-1036,add,Binary Addition,2,in,test,OFF,ON,fixed,gathered_attention,256,12,0.771742045879364,11242.328125,0.7714437246322632,3354.669677734375
a417014f,astral-pond-1037,binary_multiply,Binary Multiplication,2,in,test,ON,OFF,fixed,gathered_attention,256,12,0.8019206523895264,9761.4892578125,0.8225233554840088,978.8627319335938
a417014f,astral-pond-1037,binary_multiply,Binary Multiplication,2,in,test,ON,ON,fixed,gathered_attention,256,12,0.7411024570465088,12770.111328125,0.7521836757659912,1363.9415283203125
lakbjn7o,giddy-universe-1038,binary_multiply,Binary Multiplication,2,in,test,OFF,OFF,fixed,gathered_attention,256,12,0.814344584941864,9144.271484375,0.8222657442092896,935.65771484375
lakbjn7o,giddy-universe-1038,binary_multiply,Binary Multiplication,2,in,test,OFF,ON,fixed,gathered_attention,256,12,0.6193169951438904,18744.724609375,0.6188558340072632,3719.406982421875
jvecx9in,vague-night-1039,reverse,Bit Reversal,4,in,test,ON,OFF,fixed,gathered_attention,256,12,1.0,0.0003662109957076609,1.0,7.116649627685547
jvecx9in,vague-night-1039,reverse,Bit Reversal,4,in,test,ON,ON,fixed,gathered_attention,256,12,0.9472522139549255,2593.67626953125,0.947726845741272,354.85162353515625
8giwozi2,true-hill-1040,reverse,Bit Reversal,4,in,test,OFF,OFF,fixed,gathered_attention,256,12,1.0,0.0003662109957076609,1.0,0.0003662109957076609
8giwozi2,true-hill-1040,reverse,Bit Reversal,4,in,test,OFF,ON,fixed,gathered_attention,256,12,0.8329671621322632,8247.4560546875,0.8329671621322632,5350.92822265625
g7b8ncqu,summer-dragon-1041,add,Binary Addition,4,in,test,ON,OFF,fixed,gathered_attention,256,12,0.9094917178153992,4446.1552734375,0.9247369170188904,558.9789428710938
g7b8ncqu,summer-dragon-1041,add,Binary Addition,4,in,test,ON,ON,fixed,gathered_attention,256,12,0.8477376699447632,7498.2919921875,0.8680149912834167,830.9635009765625
1qujty00,daily-breeze-1042,add,Binary Addition,4,in,test,OFF,OFF,fixed,gathered_attention,256,12,0.944634199142456,2731.916748046875,0.9454888701438904,294.81378173828125
1qujty00,daily-breeze-1042,add,Binary Addition,4,in,test,OFF,ON,fixed,gathered_attention,256,12,0.7780627012252808,10922.2734375,0.7783339023590088,3459.01220703125
kz4nrq7t,summer-pond-1043,binary_multiply,Binary Multiplication,4,in,test,ON,OFF,fixed,gathered_attention,256,12,0.819797158241272,8867.076171875,0.8333468437194824,996.3783569335938
kz4nrq7t,summer-pond-1043,binary_multiply,Binary Multiplication,4,in,test,ON,ON,fixed,gathered_attention,256,12,0.7532009482383728,12156.8896484375,0.7629124522209167,1344.3756103515625
t7invtta,eternal-donkey-1044,binary_multiply,Binary Multiplication,4,in,test,OFF,OFF,fixed,gathered_attention,256,12,0.8474798202514648,7510.94140625,0.8543700575828552,776.3285522460938
t7invtta,eternal-donkey-1044,binary_multiply,Binary Multiplication,4,in,test,OFF,ON,fixed,gathered_attention,256,12,0.6802300810813904,15790.1162109375,0.6807454824447632,6066.81640625
1cwwrbx3,upbeat-fog-1045,reverse,Bit Reversal,5,in,test,ON,OFF,fixed,gathered_attention,256,12,1.0,0.0003662109957076609,1.0,1.538788080215454
1cwwrbx3,upbeat-fog-1045,reverse,Bit Reversal,5,in,test,ON,ON,fixed,gathered_attention,256,12,0.939710795879364,2974.37744140625,0.939710795879364,323.57470703125
f6v9ax1e,winter-elevator-1046,reverse,Bit Reversal,5,in,test,OFF,OFF,fixed,gathered_attention,256,12,1.0,0.0003662109957076609,1.0,0.0003662109957076609
f6v9ax1e,winter-elevator-1046,reverse,Bit Reversal,5,in,test,OFF,ON,fixed,gathered_attention,256,12,0.8536514043807983,7243.2724609375,0.8536514043807983,4639.552734375
gbcm1ik7,volcanic-elevator-1047,add,Binary Addition,5,in,test,OFF,OFF,fixed,gathered_attention,256,12,0.9477810859680176,2569.1025390625,0.9494086503982544,279.2705078125
gbcm1ik7,volcanic-elevator-1047,add,Binary Addition,5,in,test,OFF,ON,fixed,gathered_attention,256,12,0.7690157890319824,11376.900390625,0.7700603008270264,3221.05615234375
ax34uc7t,noble-wave-1048,add,Binary Addition,5,in,test,ON,OFF,fixed,gathered_attention,256,12,0.8251953125,8588.4873046875,0.8224419951438904,811.311279296875
ax34uc7t,noble-wave-1048,add,Binary Addition,5,in,test,ON,ON,fixed,gathered_attention,256,12,0.7890083193778992,10358.2607421875,0.7879774570465088,986.8290405273438
hx886dg6,vibrant-field-1049,binary_multiply,Binary Multiplication,5,in,test,ON,OFF,fixed,gathered_attention,256,12,0.8146295547485352,9121.9619140625,0.8166368007659912,970.518310546875
hx886dg6,vibrant-field-1049,binary_multiply,Binary Multiplication,5,in,test,ON,ON,fixed,gathered_attention,256,12,0.7444390654563904,12587.8271484375,0.7493897676467896,1339.589111328125
0f3bs9mi,zany-mountain-1050,binary_multiply,Binary Multiplication,5,in,test,OFF,OFF,fixed,gathered_attention,256,12,0.8382975459098816,7965.080078125,0.8518338203430176,778.237548828125
0f3bs9mi,zany-mountain-1050,binary_multiply,Binary Multiplication,5,in,test,OFF,ON,fixed,gathered_attention,256,12,0.6700981855392456,16290.3359375,0.6703423857688904,5652.15576171875
