damage_seed,pattern_idx,preconfig_accuracy,damaged_accuracy,accuracy_drop,relative_drop,preconfig_loss,damaged_loss,loss_increase,gate_idx,layer_idx,gate_in_layer
1000,0,0.548828125,0.580078125,-0.03125,-0.05693950177935943,102.78520965576172,108.42790222167969,5.642692565917969,0,0,0
1001,1,0.548828125,0.580078125,-0.03125,-0.05693950177935943,102.78520965576172,108.42790222167969,5.642692565917969,0,0,0
1002,2,0.548828125,0.548828125,0.0,0.0,102.78520965576172,104.47087097167969,1.6856613159179688,0,0,0
1003,3,0.548828125,0.568359375,-0.01953125,-0.03558718861209965,102.78520965576172,103.52178955078125,0.7365798950195312,0,0,0
1004,4,0.548828125,0.580078125,-0.03125,-0.05693950177935943,102.78520965576172,108.42790222167969,5.642692565917969,0,0,0
1005,5,0.548828125,0.5546875,-0.005859375,-0.010676156583629894,102.78520965576172,103.63557434082031,0.8503646850585938,0,0,0
1006,6,0.548828125,0.548828125,0.0,0.0,102.78520965576172,107.58556365966797,4.80035400390625,0,0,0
1007,7,0.548828125,0.5546875,-0.005859375,-0.010676156583629894,102.78520965576172,103.63557434082031,0.8503646850585938,0,0,0
1008,8,0.548828125,0.568359375,-0.01953125,-0.03558718861209965,102.78520965576172,103.52178955078125,0.7365798950195312,0,0,0
1009,9,0.548828125,0.548828125,0.0,0.0,102.78520965576172,104.47087097167969,1.6856613159179688,0,0,0
1010,10,0.548828125,0.5732421875,-0.0244140625,-0.04448398576512456,102.78520965576172,106.33935546875,3.5541458129882812,0,0,0
1011,11,0.548828125,0.568359375,-0.01953125,-0.03558718861209965,102.78520965576172,103.52178955078125,0.7365798950195312,0,0,0
1012,12,0.548828125,0.5732421875,-0.0244140625,-0.04448398576512456,102.78520965576172,106.33935546875,3.5541458129882812,0,0,0
1013,13,0.548828125,0.587890625,-0.0390625,-0.0711743772241993,102.78520965576172,111.11857604980469,8.333366394042969,0,0,0
1014,14,0.548828125,0.548828125,0.0,0.0,102.78520965576172,102.39686584472656,-0.38834381103515625,0,0,0
1015,15,0.548828125,0.548828125,0.0,0.0,102.78520965576172,104.47087097167969,1.6856613159179688,0,0,0
1016,16,0.548828125,0.5546875,-0.005859375,-0.010676156583629894,102.78520965576172,103.63557434082031,0.8503646850585938,0,0,0
1017,17,0.548828125,0.548828125,0.0,0.0,102.78520965576172,104.47087097167969,1.6856613159179688,0,0,0
1018,18,0.548828125,0.5546875,-0.005859375,-0.010676156583629894,102.78520965576172,103.63557434082031,0.8503646850585938,0,0,0
1019,19,0.548828125,0.5546875,-0.005859375,-0.010676156583629894,102.78520965576172,103.63557434082031,0.8503646850585938,0,0,0
1020,20,0.548828125,0.548828125,0.0,0.0,102.78520965576172,104.47087097167969,1.6856613159179688,0,0,0
1021,21,0.548828125,0.548828125,0.0,0.0,102.78520965576172,102.39686584472656,-0.38834381103515625,0,0,0
1022,22,0.548828125,0.587890625,-0.0390625,-0.0711743772241993,102.78520965576172,111.11857604980469,8.333366394042969,0,0,0
1023,23,0.548828125,0.568359375,-0.01953125,-0.03558718861209965,102.78520965576172,103.52178955078125,0.7365798950195312,0,0,0
1024,24,0.548828125,0.568359375,-0.01953125,-0.03558718861209965,102.78520965576172,103.52178955078125,0.7365798950195312,0,0,0
1025,25,0.548828125,0.5732421875,-0.0244140625,-0.04448398576512456,102.78520965576172,106.33935546875,3.5541458129882812,0,0,0
1026,26,0.548828125,0.5546875,-0.005859375,-0.010676156583629894,102.78520965576172,103.63557434082031,0.8503646850585938,0,0,0
1027,27,0.548828125,0.548828125,0.0,0.0,102.78520965576172,102.39686584472656,-0.38834381103515625,0,0,0
1028,28,0.548828125,0.548828125,0.0,0.0,102.78520965576172,102.39686584472656,-0.38834381103515625,0,0,0
1029,29,0.548828125,0.5732421875,-0.0244140625,-0.04448398576512456,102.78520965576172,106.33935546875,3.5541458129882812,0,0,0
1030,30,0.548828125,0.568359375,-0.01953125,-0.03558718861209965,102.78520965576172,103.52178955078125,0.7365798950195312,0,0,0
1031,31,0.548828125,0.587890625,-0.0390625,-0.0711743772241993,102.78520965576172,111.11857604980469,8.333366394042969,0,0,0
1032,32,0.548828125,0.5732421875,-0.0244140625,-0.04448398576512456,102.78520965576172,106.33935546875,3.5541458129882812,0,0,0
1033,33,0.548828125,0.5732421875,-0.0244140625,-0.04448398576512456,102.78520965576172,106.33935546875,3.5541458129882812,0,0,0
1034,34,0.548828125,0.548828125,0.0,0.0,102.78520965576172,104.47087097167969,1.6856613159179688,0,0,0
1035,35,0.548828125,0.5732421875,-0.0244140625,-0.04448398576512456,102.78520965576172,106.33935546875,3.5541458129882812,0,0,0
1036,36,0.548828125,0.548828125,0.0,0.0,102.78520965576172,104.47087097167969,1.6856613159179688,0,0,0
1037,37,0.548828125,0.548828125,0.0,0.0,102.78520965576172,104.47087097167969,1.6856613159179688,0,0,0
1038,38,0.548828125,0.580078125,-0.03125,-0.05693950177935943,102.78520965576172,108.42790222167969,5.642692565917969,0,0,0
1039,39,0.548828125,0.5546875,-0.005859375,-0.010676156583629894,102.78520965576172,103.63557434082031,0.8503646850585938,0,0,0
1040,40,0.548828125,0.587890625,-0.0390625,-0.0711743772241993,102.78520965576172,111.11857604980469,8.333366394042969,0,0,0
1041,41,0.548828125,0.5732421875,-0.0244140625,-0.04448398576512456,102.78520965576172,106.33935546875,3.5541458129882812,0,0,0
1042,42,0.548828125,0.587890625,-0.0390625,-0.0711743772241993,102.78520965576172,111.11857604980469,8.333366394042969,0,0,0
